,ReviewerID,ProductID,Rating,unixReviewTime
1,14555,143529.0,5.0,1380672000
2,23619,143561.0,2.0,1216252800
3,38084,143588.0,5.0,1236902400
4,51038,143588.0,5.0,1232236800
5,69367,589012.0,5.0,1309651200
6,68961,589012.0,2.0,1366675200
7,22771,589012.0,5.0,1393804800
8,40512,589012.0,2.0,1307404800
9,6702,589012.0,5.0,1393718400
10,31116,589012.0,5.0,1378425600
11,52239,589012.0,5.0,1308182400
12,43085,589012.0,5.0,1208995200
13,54707,589012.0,5.0,1224979200
14,15440,589012.0,1.0,1393113600
15,5359,589012.0,4.0,1338681600
16,64271,589012.0,5.0,1208908800
17,68272,589012.0,1.0,1218412800
18,42249,589012.0,5.0,1322956800
19,23894,589012.0,5.0,1224806400
20,16639,589012.0,5.0,1251158400
21,55785,589012.0,5.0,1308182400
22,12535,589012.0,5.0,1359763200
23,4210,589012.0,5.0,1363219200
24,5537,589012.0,5.0,1224720000
25,38580,589012.0,5.0,1226102400
26,59215,589012.0,2.0,1334966400
27,17140,589012.0,1.0,1380672000
28,1752,589012.0,5.0,1309910400
29,39477,589012.0,5.0,1225670400
30,57479,589012.0,2.0,1364083200
31,48709,589012.0,5.0,1308700800
32,36436,589012.0,4.0,1401408000
33,4567,589012.0,5.0,1380672000
34,8630,695009.0,4.0,1365724800
35,41766,791156.0,5.0,1398297600
36,65276,,5.0,1359849600
37,32474,1485423.0,5.0,1363219200
38,50149,1516035.0,5.0,1335830400
39,738,1517791.0,5.0,1399680000
40,2258,1517791.0,5.0,1294790400
41,68521,1526863.0,5.0,1184716800
42,11693,1526863.0,5.0,1301529600
43,20957,1526863.0,5.0,1254009600
44,18477,1526863.0,5.0,1376179200
45,38321,1526863.0,5.0,1381795200
46,42362,1527665.0,5.0,1362960000
47,50088,5004101.0,4.0,1151798400
48,43231,5019222.0,5.0,1175817600
49,1668,5019281.0,5.0,1388361600
50,64486,5019281.0,4.0,1203984000
51,58033,5019281.0,3.0,1388361600
52,34499,5019281.0,3.0,1388361600
53,64449,5019281.0,5.0,1388102400
54,45872,5019281.0,5.0,1358899200
55,8533,5019281.0,5.0,1212192000
56,47820,5019281.0,5.0,1290556800
57,4553,5019281.0,5.0,1202860800
58,8304,5019281.0,5.0,1387411200
59,17621,5019281.0,5.0,1388620800
60,69142,5019281.0,4.0,1404864000
61,40785,5019281.0,5.0,1388534400
62,14985,5019281.0,5.0,1229040000
63,6670,5019281.0,4.0,1387670400
64,57863,5019281.0,5.0,1383696000
65,67056,5019281.0,5.0,1230595200
66,69703,5019281.0,5.0,1323043200
67,56204,5019281.0,3.0,1394150400
68,8216,5019281.0,5.0,1260835200
69,27278,5019281.0,5.0,1386201600
70,19238,5019281.0,5.0,1325548800
71,13614,5019281.0,5.0,1379721600
72,25990,5019281.0,5.0,1387497600
73,53743,5019281.0,5.0,1204156800
74,39469,5019281.0,5.0,1388966400
75,31235,5019281.0,4.0,1358812800
76,4450,5019281.0,5.0,1390780800
77,22846,5019281.0,3.0,1199836800
78,20719,5019281.0,5.0,1387670400
79,61923,5019281.0,5.0,1324512000
80,57673,5019281.0,1.0,1388275200
81,42949,5019281.0,4.0,1358294400
82,44563,5019281.0,5.0,1386201600
83,54124,5019281.0,4.0,1387497600
84,28989,5019281.0,5.0,1164067200
85,44065,5019281.0,5.0,1390435200
86,2216,5019281.0,4.0,1387497600
87,9051,5019281.0,5.0,1393977600
88,41518,5019281.0,5.0,1173312000
89,25005,5019281.0,4.0,1389657600
90,42628,5019281.0,4.0,1168819200
91,24653,5019281.0,5.0,1328227200
92,9050,5019281.0,5.0,1388102400
93,2912,5019281.0,5.0,1363046400
94,60531,5019281.0,5.0,1036800000
95,68735,5019281.0,4.0,1387497600
96,60000,5019281.0,4.0,1233273600
97,42533,5019281.0,2.0,1378339200
98,34981,5019281.0,5.0,1388188800
99,4337,5019281.0,4.0,1198627200
100,33233,5019281.0,4.0,1217635200
101,37302,5019281.0,5.0,1331424000
102,54036,5019281.0,5.0,1323216000
103,28123,5019281.0,5.0,1326067200
104,68528,5019281.0,5.0,1390780800
105,42317,5019281.0,5.0,1362355200
106,63803,5019281.0,5.0,1388275200
107,32585,5019281.0,5.0,1008115200
108,62522,5019281.0,5.0,1386201600
109,54319,5019281.0,5.0,1387324800
110,44800,5019281.0,5.0,1208649600
111,69582,5019281.0,5.0,1363910400
112,49277,5019281.0,5.0,1323734400
113,13190,5019281.0,5.0,1389312000
114,13833,5019281.0,5.0,978220800
115,13551,5019281.0,3.0,1388707200
116,17103,5019281.0,5.0,1393545600
117,8847,5019281.0,5.0,1388188800
118,23920,5019281.0,5.0,1389571200
119,61353,5019281.0,4.0,1202428800
